index|query|topic|time_period|adjective
0|What was the approximate average global temperature anomaly (in degrees Celsius relative to the 1961-1990 mean) during the Medieval Warm Period (circa 950-1250 AD), according to reconstructions from tree ring and ice core data?|climate change|medieval|important
1|What historical event or innovation of the Renaissance period (14th to 17th century) shares the most analogous concept with the decentralized, distributed ledger principle fundamental to modern blockchain technology?|blockchain|renaissance|relevant
2|Did the development and application of artificial intelligence, as a distinct field of research, occur during the Industrial Revolution period (approximately 1760-1840), and if so, what specific AI-related innovations emerged during this time?|artificial intelligence|industrial revolution|important
3|Was augmented reality technology, as we understand it today, utilized in any notable industrial applications during the Industrial Revolution period (approximately 1760-1840), and if so, in which specific industry or innovation?|augmented reality|industrial revolution|important
4|According to NASA's Goddard Institute for Space Studies, what was the globally averaged surface temperature anomaly (in degrees Celsius) for the year 2020 relative to the 1961-1990 average?|climate change|contemporary|interesting
5|What year did the first enterprise-focused blockchain platform, Hyperledger Fabric, officially release its 1.0 version, marking a significant milestone in blockchain adoption for modern business applications?|blockchain|modern|significant
6|"If the principles of a decentralized, cryptographically secured ledger like blockchain had been applied to the Medici family's banking system during the Renaissance (1400-1600 CE), which of the following historical events might have been most directly impacted: 
A) The collapse of the Medici Bank in 1494 
B) The rise of the Florentine Guild system 
C) The financing of the Sistine Chapel's construction 
D) The emergence of the Dutch East India Company's trading monopoly?"|blockchain|renaissance|interesting
7|Did any medieval European philosopher or scholar, between the 5th and 15th centuries, explicitly conceptualize or write about autonomous mechanical devices that could perform tasks resembling human thought or decision-making, a precursor idea to modern Artificial Intelligence?|artificial intelligence|medieval|significant
8|Did the use of encrypted wax seals on royal documents during the medieval period, such as those employed by King Edward I of England in the 13th century, constitute an early form of physical cybersecurity to protect sensitive information?|cybersecurity|medieval|interesting
9|What ancient civilization is credited with inventing the first known encryption technique, the Caesar Cipher, allegedly used by Julius Caesar to secure messages around 100 BCE?|cybersecurity|ancient|significant
10|Did any inventor or artist of the Italian Renaissance (1401-1600) create a documented, precursor concept to modern Augmented Reality, such as a peep show box or anamorphic lens, that overlaid virtual information onto the physical environment?|augmented reality|renaissance|significant
11|What is the average annual increase in global sea levels, in millimeters, as recorded by satellite altimetry, from 1993 to 2020, according to NASA's Sea Level Change observations?|climate change|contemporary|significant
12|What percentage of medieval European castles (circa 12th to 15th century) utilized automated mechanical clock towers that could be considered an early precursor to Internet of Things (IoT) concepts in terms of integrated time-keeping and mechanical response systems?|internet of things|medieval|important
13|Was virtual reality technology, as defined by its modern concept of immersive computer-generated environments, developed or utilized in any significant industrial or manufacturing capacity during the Industrial Revolution period (approximately 1760-1840)?|virtual reality|industrial revolution|important
14|What is the approximate year in which the first decentralized finance (DeFi) application, MakerDAO, was launched on the Ethereum blockchain?|blockchain|contemporary|relevant
15|Did the ancient Greek philosopher Plato's Allegory of the Cave, written around 380 BCE, contain conceptual elements that can be retrospectively identified as thematic precursors to modern virtual reality notions of immersive, simulated environments?|virtual reality|ancient|interesting
16|Was the theoretical foundation for quantum computing, as laid by physicists like Max Planck and Niels Bohr, contemporaneous with the Industrial Revolution (generally dated 1760-1840), given that Planck's work on the quantum theory began in 1899 and Bohr's atomic model was introduced in 1913?|quantum computing|industrial revolution|important
17|Did medieval artisans utilize any techniques or tools resembling augmented reality concepts, such as overlaying virtual information on physical environments, in the creation or illumination of manuscripts during the 14th to 15th centuries in Europe?|augmented reality|medieval|interesting
18|Did the development and integration of augmented reality technology occur during the Industrial Revolution period (approximately 1760-1840), with any documented applications in manufacturing, textiles, or other predominant industries of the time?|augmented reality|industrial revolution|interesting
19|Did the mathematical concepts of Luca Pacioli, a Renaissance-era mathematician who collaborated with Leonardo da Vinci, anticipate or overlap with any fundamental principles later applied in quantum computing, specifically in the development of quantum gates or superposition theory, between 1494 and 1517?|quantum computing|renaissance|interesting
20|Was there any historical evidence of interconnected device systems similar to modern Internet of Things (IoT) concepts in ancient civilizations, such as the pneumatically controlled automated temple doors in ancient Greece or the mechanical puppet shows of ancient China?|internet of things|ancient|important
21|Was blockchain technology, as we understand it today, utilized in any recorded ancient civilizations, such as Greece, Rome, or China, prior to the 5th century AD?|blockchain|ancient|relevant
22|Did ancient Greek mythology, such as the stories of Pygmalion and Hephaestus' automatons, contain concepts that can be retroactively identified as precursors to modern Artificial Intelligence themes, prior to the 5th century BCE?|artificial intelligence|ancient|important
23|Did the invention of the telegraph by Samuel Morse in 1837, which facilitated rapid long-distance communication, share any conceptual parallels with the decentralized, trustless network architecture that would later define blockchain technology, in terms of enabling secure and reliable information exchange?|blockchain|industrial revolution|intriguing
24|What percentage of textile mills in Britain during the Industrial Revolution (circa 1760-1840) could be considered precursors to modern IoT facilities, in that they utilized rudimentary machine monitoring systems, such as Jacques de Vaucanson's automated loom controls, to enhance productivity?|internet of things|industrial revolution|intriguing
25|What year did Google announce a 53-qubit quantum processor, known as Sycamore, which achieved quantum supremacy by performing a complex calculation in 200 seconds that would take a classical supercomputer approximately 10,000 years?|quantum computing|modern|significant
26|What was the average annual increase in global sea levels (in millimeters) between 1993 and 2018, according to satellite altimetry data from NASA and the European Space Agency?|climate change|modern|significant
27|What significant technological or scientific advancements related to quantum computing, if any, were achieved or conceptualized by inventors or scientists during the Industrial Revolution period (circa 1760-1840), a time predominantly marked by innovations in mechanical and steam-powered manufacturing?|quantum computing|industrial revolution|relevant
28|What was the approximate average global temperature anomaly (relative to the 1961-1990 average) during the Late Renaissance (1570s-1630s), a period often cited as part of the Little Ice Age?|climate change|renaissance|interesting
29|As of 2022, what percentage of global IoT (Internet of Things) device installations are projected to be accounted for by the Asia-Pacific region, according to Gartner's market research estimates?|internet of things|contemporary|relevant
30|In what year did AlphaGo, a computer program developed by Google DeepMind, first defeat a world champion in the game of Go, marking a significant milestone in the development of artificial intelligence?|artificial intelligence|modern|interesting
31|Did any prominent figures of the Renaissance period (14th to 17th century) in Europe, such as Leonardo da Vinci, Michelangelo, or Galileo Galilei, conceptualize or write about automated machines or philosophical ideas that can be retrospectively linked to the foundational principles of modern Artificial Intelligence?|artificial intelligence|renaissance|important
32|What year did the US FDA approve the first gene therapy treatment, Luxturna (voretigene neparvovec-rzyl), for inherited retinal disease with mutations in the RPE65 gene?|biotechnology|contemporary|important
33|What form of medieval cryptography, used by monarchs and nobles from the 13th to the 15th centuries, involved replacing each letter with a different letter a fixed number of positions down the alphabet?|cybersecurity|medieval|relevant
34|Did ancient civilizations such as the Greeks or Romans ever conceptualize or describe immersive, simulated environments similar to modern notions of Virtual Reality in their surviving philosophical, artistic, or literary works before the 5th century AD?|virtual reality|ancient|significant
35|What form of early encryption, used by the ancient Egyptians around 1900 BCE and later by the Greeks and Romans, involved substituting each letter with a different letter a fixed number of positions down the alphabet?|cybersecurity|ancient|interesting
36|Did the concept of virtual reality, as understood in modern times, exist or influence art and innovation during the Renaissance period (14th to 17th century), and if so, are there documented examples of its manifestation in works of notable Renaissance figures such as Leonardo da Vinci?|virtual reality|renaissance|important
37|Did the concept of blockchain technology, as we understand it today, exist or influence any industrial processes during the Industrial Revolution period (approximately 1760 to 1840)?|blockchain|industrial revolution|important
38|What was the approximate global temperature anomaly (in degrees Celsius) during the Medieval Warm Period (circa 950-1250 AD) relative to the 1961-1990 average, according to paleoclimatic reconstructions?|climate change|medieval|intriguing
39|What is the total cumulative cost, in billions of US dollars, of NASA's Artemis program from its inception in 2019 to the successful completion of Artemis I in November 2022?|space exploration|contemporary|significant
40|Did the concept of blockchain, as we understand it today, exist or have any direct precursor in the technological innovations of the Industrial Revolution period (approximately 1760-1840), such as punch cards or telegraphy systems?|blockchain|industrial revolution|intriguing
41|Did any ancient civilizations, such as the Babylonians, Egyptians, Greeks, or Mayans, prior to the 5th century AD, conceptualize or record philosophical ideas related to superposition, entanglement, or non-locality, precursors to fundamental principles of modern quantum computing?|quantum computing|ancient|interesting
42|What is the approximate year when the first decentralized finance (DeFi) application, MakerDAO, was launched on the Ethereum blockchain, marking a significant milestone in contemporary blockchain adoption?|blockchain|contemporary|important
43|What percentage of global households are projected to have at least one smart home device by 2025, according to the International Data Corporation's (IDC) Worldwide Quarterly Smart Home Device Tracker 2020 report?|internet of things|modern|intriguing
44|What year was the Oculus Rift, a pioneering consumer-oriented virtual reality headset, first released to the public for purchase, marking a significant milestone in mainstream VR adoption?|virtual reality|contemporary|intriguing
45|"What 12th-century Benedictine nun and writer, known for her medical and botanical knowledge, described the use of fermented plant extracts for medicinal purposes in her book ""Physica"", an early example of biotechnological application in medieval Europe?"|biotechnology|medieval|intriguing
46|Was blockchain technology, as conceptualized in its modern form with cryptographic and decentralized ledger principles, present or utilized during the Industrial Revolution period (approximately 1760-1840) in any industrial, financial, or commercial application?|blockchain|industrial revolution|significant
47|"Did the ancient Greek polymath Aristotle (384-322 BCE) describe a concept analogous to augmented reality in his work ""De Anima"", specifically in Book III, Part 3, where he discusses the overlap of sensory perceptions with imagined information?"|augmented reality|ancient|interesting
48|Did the use of ciphered illuminated manuscripts by monastic scribes during the 14th century medieval period constitute one of the earliest recorded forms of encryption for securing sensitive written information?|cybersecurity|medieval|important
49|Did any medieval European monarch or noble, between the years 500 CE and 1500 CE, provide documented financial support or patronage for a specific expedition or project aimed at reaching or exploring beyond the Earth's atmosphere?|space exploration|medieval|relevant
50|Did the invention of the telegraph in 1837, a key innovation of the Industrial Revolution, share any conceptual similarities with modern blockchain's decentralized ledger system in regards to facilitating secure, time-stamped, and transparent information exchange over a network?|blockchain|industrial revolution|significant
51|What year did the US FDA approve the first genetically engineered drug, Humulin, a form of human insulin produced by recombinant DNA technology in bacteria?|biotechnology|modern|intriguing
52|What was the approximate global average sea level rise (in millimeters) from 1993 to 2018, according to satellite data from the National Oceanic and Atmospheric Administration (NOAA)?|climate change|modern|important
53|"What cryptographic technique, based on substitution and transposition, was used by the Medici family in 15th century Florence to secure sensitive correspondence, as documented in Leon Battista Alberti's treatise ""De Cifris""?"|cybersecurity|renaissance|important
54|What was the name of the first spacecraft to successfully land humans on the surface of Mars, or if none, what was the name of the most recent NASA Mars rover to touchdown as of the year 2022?|space exploration|modern|interesting
55|"What ancient civilization is credited with being the first to recognize and record a comet, with the earliest known recorded sighting dating back to circa 240 BCE, as documented on the Halley's Comet-inspired ""Astronomical Diaries"" tablet?"|space exploration|ancient|important
56|"In 2020, which technology company released the ""Lidar Scanner"" in its iPhone 12 Pro series, significantly enhancing the device's augmented reality (AR) capabilities?"|augmented reality|contemporary|interesting
57|What is the estimated number of Internet of Things (IoT) connected devices worldwide in the year 2022, according to the latest report by Gartner, Inc.?|internet of things|modern|important
58|In what year did Google acquire DeepMind, a leading artificial intelligence research laboratory, marking a significant milestone in the integration of AI research into major tech corporations?|artificial intelligence|modern|significant
59|Did the Antikythera mechanism, an ancient Greek device circa 100 BCE, exhibit characteristics commonly associated with the Internet of Things (IoT), such as autonomous data collection and mechanical responsiveness to input?|internet of things|ancient|intriguing
60|What year did AlexNet, a deep neural network, win the ImageNet Large Scale Visual Recognition Challenge (ILSVRC), marking a significant breakthrough in the development of modern artificial intelligence image classification systems?|artificial intelligence|modern|significant
61|What year did the first Industrial Internet of Things (IIoT) implementation, the Supervisory Control and Data Acquisition (SCADA) system, initially emerge to monitor and control industrial processes over the internet?|internet of things|industrial revolution|important
62|"What 16th-century Polish astronomer, during the Renaissance, first proposed a heliocentric model of the solar system in his work ""De revolutionibus orbium coelestium"" (On the Revolutions of the Celestial Spheres)?"|space exploration|renaissance|interesting
63|Was there any recorded mention or conceptual precursor to quantum computing principles, such as superposition or entanglement, in the written works of medieval European scholars between the 5th and 15th centuries?|quantum computing|medieval|important
64|What was the approximate average global temperature anomaly (degrees Celsius) relative to the 1961-1990 average during the peak of the Little Ice Age (LIA), which occurred concurrently with the European Renaissance (roughly 1550-1650 AD)?|climate change|renaissance|relevant
65|Did any ancient civilizations, such as the Babylonians, Egyptians, Greeks, or Mayans, between 3500 BCE and 500 CE, conceptualize or describe mathematical principles that could be retrospectively identified as analogous to quantum superposition or entanglement in their surviving philosophical, astronomical, or mathematical texts?|quantum computing|ancient|intriguing
66|Did the development and application of virtual reality technology occur during the Industrial Revolution period (circa 1760-1840), and if so, in what specific industry or pioneering work is its earliest known usage documented?|virtual reality|industrial revolution|significant
67|Was virtual reality technology, as defined by its contemporary understanding of a computer-simulated environment, explicitly developed or patented during the Industrial Revolution period (approximately 1760-1840)?|virtual reality|industrial revolution|relevant
68|In what year was the first genetically engineered human insulin, Humulin, approved by the US Food and Drug Administration (FDA) for use in patients?|biotechnology|modern|relevant
69|Was virtual reality technology, as defined by its modern connotation of immersive computer-simulated environments, developed or conceptually proposed by inventors or scientists during the Industrial Revolution period (approximately 1760 to 1840)?|virtual reality|industrial revolution|significant
70|Did the ancient Babylonians' use of clay tablets for recording and verifying business transactions, circa 700 BCE, employ any principles that are now recognized as precursors to modern blockchain concepts, such as decentralization or immutable ledgers?|blockchain|ancient|interesting
71|What percentage of global households are projected to have at least one smart home device by the end of 2025, according to a report by Statista published in 2022?|internet of things|contemporary|interesting
72|In 2021, what percentage of global organizations experienced a ransomware attack, according to the annual Cybersecurity Threats Report by SonicWall?|cybersecurity|contemporary|intriguing
73|What was the total percentage increase in global average sea level from 1993 to 2018, according to the Intergovernmental Panel on Climate Change (IPCC) Fifth Assessment Report?|climate change|modern|intriguing
74|Did the 16th-century German scholar and mathematician Adam Fuchs, known for his work on mechanical automata, conceptualize or design any theoretical frameworks that resemble modern artificial intelligence principles in his published writings between 1550 and 1580?|artificial intelligence|renaissance|intriguing
75|What form of cryptographic technique, invented by Giovan Battista Bellaso in the 16th century and later perfected by Blaise de Vigenère, was considered unbreakable for centuries and is often associated with the Renaissance era of cryptography?|cybersecurity|renaissance|interesting
76|Did the concept or any recorded precursor of artificial intelligence, as understood in modern times, explicitly appear in the written works of medieval European scholars, such as Thomas Aquinas or Roger Bacon, between the 5th and 15th centuries?|artificial intelligence|medieval|important
77|What significant advancement in understanding of quantum mechanics, which would later influence the development of quantum computing, was made by Max Planck in 1900, during the tail end of the Industrial Revolution period?|quantum computing|industrial revolution|important
78|What is the estimated number of Internet of Things (IoT) connected devices worldwide in the year 2022, according to leading market research firm Gartner?|internet of things|modern|important
79|What is the name of the first privately funded spacecraft to dock with the International Space Station, which successfully completed this rendezvous on May 25, 2012?|space exploration|modern|important
80|What year did Oculus VR, a pioneering virtual reality technology company, release the first consumer version of the Oculus Rift headset?|virtual reality|modern|significant
81|What year did Oculus VR, a pioneering virtual reality technology company, release the first consumer version of its Oculus Rift headset, marking a significant milestone in mainstream VR adoption?|virtual reality|modern|intriguing
82|What form of physical security measure was commonly used during the medieval period to protect written sensitive information, such as royal decrees and diplomatic correspondence, from unauthorized access?|cybersecurity|medieval|important
83|What approximate global temperature anomaly (in degrees Celsius relative to the 1961-1990 average) is estimated to have occurred during the Last Glacial Maximum, around 20,000 years ago, due to drastic reductions in greenhouse gas concentrations?|climate change|ancient|intriguing
84|Were there any recorded concepts, myths, or mechanical automata in ancient civilizations, such as Greece or China, that can be retrospectively identified as precursors to modern Artificial Intelligence ideas before the 5th century CE?|artificial intelligence|ancient|important
85|"What was the estimated average global temperature anomaly (relative to the 1961-1990 average) during the Late Renaissance (1570-1650), a period known as the ""Little Ice Age""?"|climate change|renaissance|intriguing
86|"What year did the first recorded instance of a ""logic bomb"" occur, when a railroad employee, Ernest Phillies, attempted to sabotage the New York Central Railroad's automated system during a labor dispute, marking an early example of industrial cybersecurity threat?"|cybersecurity|industrial revolution|relevant
87|Did the ancient Greek myth of Pygmalion, which features a sculptor creating a sentient statue, influence later philosophical discussions about the potential for artificial life, as seen in the works of René Descartes (1596-1650) or before?|artificial intelligence|ancient|interesting
88|What is the approximate percentage increase in global sea levels from 1993 to 2018, according to NASA's Climate Change research program?|climate change|contemporary|interesting
89|During the medieval period, approximately spanning from the 5th to the 15th century, which of the following space exploration events or achievements occurred: a) Manned lunar landing, b) Telescopic observation of the Moon's surface, c) None of the above, as space exploration did not begin until the 20th century?|space exploration|medieval|relevant
90|What percentage of the world's governments had set or were in the process of setting nation-determined contributions to reduce greenhouse gas emissions by the end of 2020, as outlined in the Paris Agreement on climate change?|climate change|contemporary|interesting
91|What percentage of global businesses reported being targeted by ransomware attacks in 2021, according to the annual Cybersecurity Threats Report published by CyberEdge Group?|cybersecurity|modern|intriguing
92|Did the concept of virtual reality, as understood in modern technological contexts, exist in any documented form or description within medieval European literature or historical records between the 5th and 15th centuries?|virtual reality|medieval|relevant
93|What percentage of VR headsets sold worldwide in 2020 were standalone devices, according to data released by the International Data Corporation (IDC)?|virtual reality|contemporary|intriguing
94|What astronomical event, observed in the year 1066, was recorded by medieval English monasteries in the Peterborough Chronicle, which some modern historians have incorrectly speculated might have been a sighting of Halley's Comet, despite the comet's actual perihelion occurring in 1061?|space exploration|medieval|intriguing
95|What year did Konstantin Tsiolkovsky, a Russian mathematician and physicist, first propose the use of multistage rockets for space exploration, during the late Industrial Revolution era?|space exploration|industrial revolution|significant
96|What is the approximate year when IBM launched the first commercially available quantum computer, the IBM Q System One, which features a 53-qubit quantum processor?|quantum computing|contemporary|significant
97|What year did Google officially announce the achievement of quantum supremacy with its 53-qubit Sycamore processor, successfully performing a complex calculation in 200 seconds that would take a classical supercomputer approximately 10,000 years?|quantum computing|modern|significant
98|Did any prominent figures of the European Renaissance (1400-1600 CE), such as Leonardo da Vinci, Michelangelo, or Galileo Galilei, conceptualize or sketch automata or mechanical devices that can be retrospectively identified as precursors to modern Artificial Intelligence?|artificial intelligence|renaissance|interesting
99|Was blockchain technology, as we define it today with its decentralized, cryptographic foundation, in existence or conceptualized during the Industrial Revolution period (approximately 1760-1840)?|blockchain|industrial revolution|important
100|What significant biotechnological innovation, introduced in the late 18th century during the Industrial Revolution, did Louis Pasteur develop in 1857, revolutionizing the production of beer, wine, and silk, and ultimately saving the French silk industry?|biotechnology|industrial revolution|interesting
101|Did the exceptionally cold temperatures of the Little Ice Age, which occurred from approximately 1550 to 1850, overlap with the entirety of the European Renaissance period, which is traditionally dated from 1400 to 1600?|climate change|renaissance|relevant
102|"Did the ancient Greek philosopher Aristotle, in his work ""De Anima"" (circa 350 BCE), describe a concept analogous to modern augmented reality through his observations on the overlapping of sensory perceptions, such as seeing and understanding, to enhance human understanding of the physical world?"|augmented reality|ancient|interesting
103|"How many Blockchain-like ledger technologies, such as the ""Domesday Book"" used for land ownership records in 11th century England, existed in Europe during the Medieval period (roughly 5th-15th century)?"|blockchain|medieval|interesting
104|What was the approximate global temperature anomaly (relative to the 1961-1990 average) during the peak of the Medieval Warm Period (circa 950-1050 AD), according to paleoclimatic reconstructions?|climate change|medieval|important
105|In what year did Google officially announce a 53-qubit quantum processor, named Sycamore, which demonstrated quantum supremacy by performing a complex calculation in 200 seconds that would take the world's most powerful classical supercomputer approximately 10,000 years?|quantum computing|modern|intriguing
106|What 16th-century mathematical concept developed by Italian polymath Gerolamo Cardano, namely the use of complex numbers to represent probabilities, inadvertently laid foundational groundwork for the quantum computing principle of superposition in qubits centuries later?|quantum computing|renaissance|intriguing
107|Did any medieval European monarchs or caliphs, between the 5th and 15th centuries, provide documented financial support or patronage for expeditions or studies specifically focused on reaching or exploring the cosmos beyond Earth's atmosphere?|space exploration|medieval|significant
108|What is the name of the space probe that, launched in 2006 by NASA, became the first spacecraft to orbit the dwarf planet Pluto in July 2015?|space exploration|modern|interesting
109|"What ancient civilization is credited with being the first to use a form of encryption, the ""Caesar Cipher"", as described by Suetonius, to protect military communications?"|cybersecurity|ancient|significant
110|Did the ancient Greek myth of Pygmalion, circa 8th century BC, feature a storyline involving the creation of an artificially sentient being, often cited as one of the earliest recorded conceptualizations of artificial intelligence in human history?|artificial intelligence|ancient|significant
111|What year did Louis Pasteur first develop the anthrax vaccine using laboratory attenuation, marking a pivotal moment for biotechnology during the Industrial Revolution period in Europe?|biotechnology|industrial revolution|significant
112|Did any ancient civilizations, such as Greece, Rome, or Egypt, from 3000 BCE to 500 CE, create or utilize immersive, simulated experience technologies resembling modern virtual reality concepts in their art, entertainment, or spiritual practices?|virtual reality|ancient|important
113|What notable invention of the Renaissance period (14th to 17th century), such as a mechanical device or innovative system, bears conceptual similarities to modern Internet of Things (IoT) principles of interconnectedness and automation, even in the absence of internet connectivity?|internet of things|renaissance|relevant
114|What was the approximate average global temperature anomaly (in degrees Celsius relative to the 1961-1990 mean) during the Late Renaissance's Maunder Minimum period (1645-1715), a time of reduced solar activity coinciding with the Little Ice Age?|climate change|renaissance|intriguing
115|What year did AlphaGo, a computer program developed by Google DeepMind, first defeat a world champion in the game of Go, marking a significant milestone in the development of artificial intelligence?|artificial intelligence|modern|significant
116|Did any prominent figures of the Renaissance period, spanning from the 14th to the 17th century, explicitly conceptualize or write about mechanized or autonomous systems that can be retrospectively identified as precursors to modern Artificial Intelligence theories?|artificial intelligence|renaissance|important
117|What was the approximate global temperatures anomaly (in degrees Celsius relative to the 1961-1990 average) during the Holocene Optimum, a warm period that occurred around 9,000 to 5,000 years ago?|climate change|ancient|intriguing
118|Were there any recorded philosophical or mathematical concepts in ancient civilizations, such as Greece (e.g., Democritus' atomic theory) or India (e.g., Pingala's binary arithmetic), that inadvertently laid foundational ideas relevant to modern quantum computing principles before the 5th century CE?|quantum computing|ancient|important
119|What year would the first recorded instance of a decentralized, ledger-based transaction system, analogous to modern blockchain principles, have needed to occur by, to coincide with the end of the Italian Renaissance (conventionally marked as 1550)?|blockchain|renaissance|significant
120|During the last ice age of the Pleistocene epoch (approximately 110,000 to 10,000 years ago), what was the estimated global average sea level compared to current levels, in meters?|climate change|ancient|relevant
121|"What ancient civilization, between 700 BCE and 500 CE, is known to have used a substitution cipher, now referred to as the ""Caesar Cipher"", for secure communication, as evidenced by surviving inscriptions and historical accounts?"|cybersecurity|ancient|significant
122|What year was the first commercially available gene therapy drug, Glybera (alipogene tiparvovec), approved by the European Commission for the treatment of lipoprotein lipase deficiency?|biotechnology|contemporary|relevant
123|What was the average global sea level rise (in millimeters) from 1993 to 2018, according to the Intergovernmental Panel on Climate Change (IPCC) Fifth Assessment Report?|climate change|contemporary|important
124|Did the introduction of the Stereoscope in 1838 by Sir Charles Wheatstone, a precursor to modern virtual reality technology, have any documented influence on industrial design or manufacturing processes during the Industrial Revolution in 19th century Britain?|virtual reality|industrial revolution|interesting
125|Was the concept of Artificial Intelligence, as we understand it today, explicitly mentioned or developed in any notable industrial or scientific publications during the Industrial Revolution period (approximately 1760-1840)?|artificial intelligence|industrial revolution|significant
126|Was any form of artificial intelligence, including automata or mechanical computing devices, explicitly described or developed in documented medieval European literature before the year 1500?|artificial intelligence|medieval|important
127|"Did the ancient Greek philosopher Plato, in his written works circa 380 BCE, conceptualize a hypothetical ""Allegory of the Cave"" that shares parallels with modern notions of immersive virtual reality experiences?"|virtual reality|ancient|interesting
128|Did any notable inventors or artists of the Renaissance period, such as Leonardo da Vinci or Michelangelo, conceptualize or create prototypes that can be retrospectively identified as precursors to modern augmented reality (AR) technologies, prior to the year 1650?|augmented reality|renaissance|relevant
129|What medieval European monarch or noble is credited with funding the 1291 voyage of the Vivaldi brothers, an abortive attempt to reach Asia by sailing west across the Atlantic, often cited as a precursor to later age of space exploration's historical analog, the Age of Exploration?|space exploration|medieval|intriguing
130|What significant contribution did Justus von Liebig's discovery of nitrogen's role in plant nutrition, published in 1840, have on the development of fertilizer production during the Industrial Revolution?|biotechnology|industrial revolution|interesting
131|Did medieval trade networks, such as the Hanseatic League (13th-16th centuries), employ any record-keeping or transaction-validation systems that share conceptual similarities with modern blockchain technology's decentralized, immutable ledger principles?|blockchain|medieval|interesting
132|What was the approximate percentage increase in global average surface temperature from 1880 to 2020, according to NASA's Goddard Institute for Space Studies (GISS) temperature records?|climate change|modern|important
133|What notable advancement in microscopy, developed by Zacharias Janssen in the late 16th century Renaissance, laid foundational groundwork for the future of biotechnological inquiry?|biotechnology|renaissance|important
134|What is the total number of astronauts who have visited the International Space Station (ISS) from its inaugural crew in November 2000 to the end of 2022?|space exploration|contemporary|significant
135|"Did the ancient Greek mathematician and engineer Hero of Alexandria design and describe automata, often considered precursors to modern artificial intelligence, in his 1st-century AD treatise ""Pneumatica"" and ""Automaton-making""?"|artificial intelligence|ancient|interesting
136|Did any known ancient civilizations, such as Greece, Rome, China, or Egypt, prior to the 5th century AD, conceptualize or document mechanical automatons or self-operating devices that can be retrospectively identified as precursors to modern artificial intelligence?|artificial intelligence|ancient|important
137|Did any prominent figures of the Industrial Revolution period (circa 1760-1840) publicly propose or conceptualize human space exploration or extraterrestrial travel in their written works or lectures?|space exploration|industrial revolution|relevant
